,Ward,Number of Contributions,Average Contribution,Sum of Contributions,Median Contribution,Total Count of Business Licenses,LICENSE TERM START DATE,Affiliation,Animal Care License,Bicycle Messenger Service,Caterer's Liquor License,Children's Services Facility License,Commercial Garage,Commercial Passenger Vessel,Consumption on Premises - Incidental Activity,Emerging Business,Explosives,Filling Station,Food - Shared Kitchen,Food - Shared Kitchen - Supplemental,Heliports,Late Hour,License Manager,Limited Business License,Manufacturing Establishments,Mobile Food License,Motor Vehicle Services License,Music and Dance,Navy Pier Kiosk License,Not-For-Profit Club,Outdoor Patio,Package Goods,Pawnbroker,Peddler License,Pharmaceutical Representative,Pop-Up Establishment Host - Tier II,Pop-Up Establishment Host - Tier III,Pop-Up Retail User,Private Booting Registration,Public Place of Amusement,Raffles,Regulated Business License,Retail Food Establishment,Secondhand Dealer,Shared Housing Unit Operator,Shared Kitchen User,Special Event Food,Special Event Liquor,Tavern,Taxicab Two-Way Dispatch Service License,Tobacco,Valet Parking Operator,Weapons Dealer,Wholesale Food Establishment,Wrigley Field,Total Count of Crimes,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Total Count of Microlenders,White2016,Black2016,Asian2016,Latino2016,Other2016
23,25,2.0,0.0,0.0,0.0,2116,2116,0.0,15.0,1.0,6.0,20.0,22.0,1.0,103.0,0.0,0.0,14.0,0.0,7.0,0.0,1.0,0.0,742.0,35.0,49.0,37.0,0.0,0.0,2.0,16.0,36.0,2.0,27.0,7.0,0.0,0.0,1.0,0.0,19.0,17.0,278.0,455.0,6.0,5.0,23.0,0.0,2.0,15.0,0.0,58.0,10.0,0.0,84.0,0.0,9604,18.0,817.0,1574.0,271.0,9.0,17.0,1019.0,50.0,280.0,794.0,3.0,29.0,0.0,18.0,8.0,3.0,19.0,415.0,216.0,0.0,0.0,59.0,1.0,514.0,1.0,2.0,67.0,0.0,349.0,53.0,18.0,2752.0,228.0,16,0.22144440562642642,0.09204119873473979,0.1645164757130528,0.5090730854907705,0.012924834435010463
24,26,6.0,333.3333333333333,2000.0,250.0,937,937,0.0,5.0,1.0,0.0,15.0,0.0,0.0,24.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,323.0,30.0,0.0,44.0,2.0,0.0,1.0,9.0,24.0,1.0,24.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,154.0,180.0,3.0,2.0,8.0,0.0,0.0,20.0,0.0,37.0,0.0,0.0,5.0,0.0,8045,22.0,734.0,1547.0,407.0,3.0,11.0,1013.0,40.0,135.0,541.0,0.0,20.0,0.0,43.0,7.0,5.0,11.0,341.0,303.0,0.0,3.0,71.0,0.0,548.0,25.0,0.0,43.0,0.0,277.0,47.0,4.0,1588.0,256.0,6,0.22641375451164725,0.12547804116991762,0.015171107385133826,0.6180849351018328,0.014852161831468497
25,27,26.0,709.6153846153846,18450.0,500.0,3189,3189,0.0,25.0,0.0,35.0,33.0,101.0,0.0,215.0,0.0,1.0,11.0,6.0,14.0,0.0,15.0,0.0,1029.0,95.0,40.0,48.0,0.0,0.0,1.0,73.0,40.0,1.0,34.0,23.0,0.0,0.0,2.0,0.0,78.0,33.0,407.0,566.0,5.0,9.0,19.0,0.0,31.0,33.0,1.0,62.0,49.0,0.0,54.0,0.0,23929,46.0,1673.0,3995.0,667.0,5.0,33.0,2245.0,87.0,623.0,1425.0,15.0,73.0,1.0,128.0,7.0,8.0,28.0,1059.0,2575.0,0.0,3.0,146.0,0.0,1143.0,20.0,0.0,138.0,0.0,797.0,92.0,16.0,6300.0,581.0,8,0.2771097577395909,0.5415068157991629,0.036737231783275134,0.12257580531382153,0.022070389364149436
26,28,48.0,566.1458333333334,27175.0,500.0,1130,1130,0.0,2.0,0.0,1.0,17.0,5.0,0.0,15.0,0.0,2.0,15.0,0.0,3.0,1.0,2.0,1.0,355.0,64.0,1.0,44.0,1.0,0.0,1.0,12.0,32.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,147.0,260.0,6.0,1.0,9.0,0.0,0.0,9.0,0.0,63.0,1.0,0.0,18.0,0.0,26464,70.0,2076.0,5702.0,633.0,17.0,38.0,2479.0,94.0,499.0,1041.0,31.0,126.0,2.0,168.0,14.0,14.0,13.0,1100.0,4228.0,0.0,4.0,147.0,0.0,1389.0,270.0,1.0,235.0,1.0,1276.0,85.0,16.0,3533.0,1162.0,5,0.12764152203620596,0.7303334471087161,0.05120413182463475,0.07815891796702419,0.012661981063419016
27,29,4.0,500.0,2000.0,375.0,969,969,0.0,5.0,0.0,3.0,25.0,2.0,0.0,13.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,392.0,29.0,1.0,40.0,0.0,0.0,0.0,2.0,16.0,1.0,21.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,137.0,186.0,3.0,0.0,5.0,0.0,1.0,8.0,0.0,42.0,0.0,0.0,21.0,0.0,13008,44.0,1246.0,3116.0,394.0,4.0,24.0,1498.0,73.0,206.0,922.0,6.0,58.0,1.0,40.0,11.0,7.0,3.0,700.0,527.0,1.0,5.0,95.0,0.0,909.0,4.0,1.0,74.0,0.0,526.0,61.0,8.0,2019.0,425.0,5,0.13943011605492173,0.6819535778786348,0.00849977090384128,0.16116620626804506,0.008950328894557333
28,30,14.0,666.0714285714286,9325.0,500.0,920,920,1.0,4.0,0.0,2.0,18.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,310.0,15.0,0.0,59.0,1.0,0.0,1.0,2.0,33.0,4.0,28.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,137.0,184.0,6.0,0.0,2.0,0.0,0.0,21.0,0.0,50.0,0.0,0.0,3.0,0.0,5584,21.0,428.0,1153.0,212.0,0.0,7.0,703.0,18.0,99.0,420.0,0.0,6.0,0.0,3.0,7.0,5.0,7.0,316.0,163.0,0.0,5.0,79.0,2.0,428.0,0.0,0.0,16.0,0.0,182.0,33.0,7.0,1120.0,144.0,1,0.2563879946178297,0.019537840816060775,0.029824645949108303,0.6777895176941259,0.01646000092287539
29,31,16.0,353.125,5650.0,250.0,1066,1066,0.0,13.0,0.0,1.0,15.0,1.0,0.0,19.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,396.0,34.0,0.0,82.0,0.0,0.0,0.0,1.0,26.0,0.0,19.0,1.0,0.0,0.0,0.0,2.0,11.0,1.0,158.0,196.0,2.0,0.0,9.0,0.0,1.0,15.0,0.0,38.0,0.0,0.0,11.0,0.0,6175,6.0,527.0,1215.0,224.0,7.0,13.0,740.0,23.0,107.0,507.0,0.0,5.0,0.0,18.0,5.0,4.0,9.0,343.0,223.0,1.0,3.0,80.0,0.0,514.0,12.0,1.0,38.0,0.0,160.0,52.0,8.0,1159.0,171.0,3,0.182556503136406,0.021267764123323082,0.018010008445801574,0.7625990142726479,0.015566710021821575
30,32,17.0,729.4117647058823,12400.0,500.0,1751,1751,0.0,31.0,0.0,6.0,36.0,3.0,0.0,112.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,554.0,14.0,1.0,38.0,3.0,0.0,3.0,39.0,45.0,0.0,10.0,29.0,2.0,0.0,2.0,2.0,25.0,9.0,272.0,348.0,8.0,2.0,26.0,0.0,7.0,46.0,0.0,47.0,3.0,0.0,7.0,0.0,6444,7.0,311.0,554.0,410.0,0.0,6.0,665.0,20.0,173.0,792.0,0.0,3.0,0.0,3.0,3.0,4.0,9.0,273.0,45.0,0.0,2.0,34.0,0.0,256.0,2.0,0.0,11.0,0.0,164.0,29.0,2.0,2625.0,41.0,7,0.7288381893295016,0.02022758652465467,0.04354833570743184,0.17760928206899199,0.02977660636941978
31,34,9.0,622.2222222222222,5600.0,250.0,508,508,0.0,2.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,155.0,6.0,0.0,36.0,1.0,0.0,1.0,0.0,6.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,75.0,102.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,36.0,0.0,0.0,0.0,0.0,14728,32.0,1372.0,3093.0,763.0,9.0,41.0,1973.0,47.0,336.0,991.0,1.0,55.0,1.0,79.0,8.0,17.0,0.0,638.0,495.0,0.0,2.0,192.0,0.0,1184.0,18.0,1.0,59.0,0.0,411.0,63.0,10.0,2084.0,753.0,3,0.007747637682944264,0.9618309306093048,0.0003950151176471078,0.012062042241491657,0.01796437434861231
32,36,35.0,695.7142857142857,24350.0,500.0,871,871,0.0,6.0,0.0,1.0,7.0,0.0,0.0,24.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,298.0,24.0,4.0,65.0,1.0,0.0,1.0,4.0,29.0,1.0,21.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,136.0,169.0,5.0,0.0,2.0,0.0,1.0,8.0,0.0,41.0,0.0,0.0,6.0,0.0,6101,13.0,507.0,1214.0,206.0,4.0,18.0,713.0,24.0,108.0,532.0,0.0,10.0,0.0,10.0,8.0,3.0,3.0,330.0,208.0,0.0,2.0,74.0,1.0,485.0,0.0,1.0,31.0,0.0,155.0,49.0,6.0,1215.0,171.0,4,0.23158085214403015,0.0309215181976503,0.02633796967614548,0.7008814337233205,0.010278226258853619
33,37,22.0,669.3181818181819,14725.0,500.0,910,910,0.0,1.0,0.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,331.0,56.0,0.0,74.0,1.0,0.0,0.0,1.0,20.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,130.0,154.0,6.0,1.0,6.0,0.0,0.0,3.0,0.0,51.0,0.0,0.0,7.0,0.0,15866,49.0,1399.0,3583.0,494.0,7.0,29.0,1664.0,65.0,278.0,903.0,11.0,73.0,0.0,90.0,11.0,9.0,8.0,700.0,1588.0,0.0,2.0,163.0,0.0,948.0,8.0,0.0,84.0,0.0,706.0,62.0,13.0,2256.0,663.0,3,0.012741273285030684,0.7151119609244281,0.003947045268595685,0.2542030850956643,0.013996635426281392
34,38,2.0,400.0,800.0,400.0,758,758,0.0,8.0,0.0,2.0,20.0,0.0,0.0,26.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,245.0,11.0,1.0,40.0,2.0,0.0,0.0,6.0,17.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,126.0,147.0,4.0,1.0,4.0,0.0,3.0,13.0,0.0,38.0,0.0,0.0,2.0,0.0,4216,12.0,339.0,768.0,204.0,1.0,9.0,544.0,8.0,86.0,604.0,0.0,9.0,0.0,10.0,2.0,6.0,8.0,170.0,43.0,0.0,4.0,48.0,0.0,387.0,1.0,1.0,13.0,0.0,65.0,28.0,6.0,790.0,50.0,3,0.6260396234841522,0.019573159387383545,0.04123991256724029,0.2959122430343598,0.017235061526864236
35,39,42.0,475.5952380952381,19975.0,500.0,1132,1132,6.0,11.0,0.0,0.0,17.0,2.0,0.0,24.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,4.0,410.0,18.0,0.0,64.0,1.0,0.0,3.0,5.0,19.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,208.0,217.0,8.0,0.0,11.0,0.0,1.0,13.0,1.0,41.0,0.0,0.0,8.0,0.0,4859,8.0,351.0,704.0,249.0,1.0,6.0,577.0,20.0,146.0,628.0,1.0,5.0,1.0,5.0,3.0,2.0,3.0,217.0,52.0,0.0,1.0,45.0,0.0,324.0,2.0,0.0,18.0,0.0,109.0,30.0,2.0,1289.0,60.0,6,0.5279896749032981,0.023461706300895765,0.1873978158987842,0.23299145988495093,0.028159343012071035
36,40,9.0,235.55555555555554,2120.0,250.0,1149,1149,2.0,13.0,0.0,0.0,28.0,4.0,0.0,51.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,2.0,349.0,4.0,1.0,61.0,3.0,0.0,3.0,10.0,29.0,0.0,12.0,6.0,0.0,0.0,0.0,1.0,11.0,12.0,179.0,256.0,2.0,2.0,5.0,0.0,5.0,28.0,0.0,48.0,0.0,0.0,1.0,0.0,6048,3.0,407.0,1047.0,244.0,0.0,21.0,716.0,37.0,147.0,735.0,0.0,4.0,0.0,6.0,3.0,3.0,6.0,240.0,100.0,0.0,0.0,41.0,0.0,339.0,1.0,0.0,20.0,0.0,122.0,33.0,11.0,1733.0,29.0,2,0.5193116929002413,0.06168176242716696,0.155918088887496,0.22225546944807076,0.040832986337025104
37,41,5.0,440.0,2200.0,500.0,1244,1244,2.0,14.0,0.0,1.0,21.0,8.0,1.0,100.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,458.0,9.0,0.0,16.0,1.0,0.0,1.0,9.0,17.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,9.0,7.0,157.0,303.0,4.0,1.0,5.0,0.0,2.0,18.0,1.0,42.0,9.0,0.0,0.0,0.0,5977,7.0,340.0,782.0,152.0,62.0,8.0,465.0,13.0,327.0,1166.0,1.0,1.0,0.0,8.0,4.0,2.0,3.0,274.0,278.0,0.0,1.0,34.0,0.0,382.0,0.0,0.0,41.0,0.0,44.0,35.0,12.0,1520.0,15.0,1,0.8111787168468876,0.011293383576060974,0.0500738869080958,0.09824328672913932,0.02921072593981632
38,42,22.0,836.3636363636364,18400.0,750.0,9507,9507,0.0,12.0,0.0,96.0,25.0,239.0,6.0,832.0,1.0,0.0,5.0,0.0,10.0,0.0,35.0,0.0,4476.0,24.0,3.0,4.0,2.0,1.0,8.0,171.0,126.0,5.0,22.0,43.0,7.0,0.0,2.0,0.0,219.0,120.0,706.0,1778.0,35.0,3.0,29.0,7.0,17.0,60.0,0.0,206.0,168.0,1.0,3.0,0.0,26355,22.0,1250.0,2930.0,692.0,8.0,49.0,1392.0,124.0,845.0,3757.0,0.0,10.0,0.0,65.0,18.0,4.0,35.0,718.0,322.0,0.0,2.0,39.0,4.0,708.0,1.0,1.0,208.0,0.0,711.0,88.0,18.0,12052.0,282.0,13,0.6915456956822548,0.04012733087926029,0.18663116131514418,0.05730427294191025,0.024391539181430628
39,43,17.0,773.5294117647059,13150.0,500.0,1611,1611,0.0,6.0,0.0,7.0,33.0,26.0,0.0,144.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,434.0,0.0,0.0,7.0,7.0,0.0,3.0,37.0,36.0,1.0,16.0,21.0,0.0,0.0,0.0,0.0,37.0,18.0,218.0,404.0,4.0,2.0,16.0,0.0,9.0,50.0,0.0,44.0,14.0,0.0,2.0,0.0,5722,15.0,222.0,573.0,280.0,1.0,8.0,566.0,20.0,146.0,841.0,1.0,2.0,0.0,4.0,1.0,3.0,13.0,181.0,31.0,0.0,2.0,8.0,0.0,186.0,0.0,0.0,24.0,0.0,199.0,37.0,5.0,2336.0,17.0,3,0.8055953235148847,0.0390606567223796,0.06236492291715233,0.06076743394355101,0.03221166290203233
40,44,30.0,629.8,18894.0,500.0,1877,1877,0.0,12.0,0.0,11.0,21.0,43.0,0.0,182.0,0.0,0.0,4.0,0.0,2.0,0.0,13.0,0.0,401.0,2.0,1.0,15.0,10.0,0.0,0.0,71.0,53.0,0.0,24.0,24.0,0.0,0.0,1.0,1.0,84.0,12.0,202.0,482.0,9.0,4.0,15.0,0.0,8.0,78.0,0.0,73.0,5.0,0.0,1.0,13.0,7740,9.0,382.0,1016.0,304.0,3.0,29.0,551.0,49.0,256.0,1031.0,0.0,1.0,0.0,17.0,8.0,2.0,21.0,308.0,50.0,0.0,3.0,10.0,0.0,297.0,0.0,0.0,41.0,0.0,241.0,36.0,10.0,3052.0,13.0,1,0.8109766325865935,0.027154753118400463,0.07525484887372462,0.060955857388243884,0.025657908033037375
41,45,2.0,787.5,1575.0,787.5,1182,1182,0.0,6.0,0.0,1.0,20.0,4.0,1.0,38.0,1.0,0.0,12.0,0.0,1.0,0.0,3.0,0.0,422.0,22.0,1.0,56.0,2.0,0.0,1.0,8.0,31.0,0.0,15.0,3.0,0.0,0.0,0.0,2.0,11.0,4.0,194.0,223.0,5.0,3.0,3.0,0.0,2.0,25.0,0.0,53.0,0.0,0.0,9.0,0.0,5566,8.0,445.0,925.0,286.0,3.0,7.0,638.0,13.0,127.0,782.0,0.0,6.0,2.0,9.0,10.0,4.0,9.0,234.0,68.0,0.0,3.0,54.0,1.0,380.0,1.0,0.0,18.0,0.0,123.0,35.0,7.0,1329.0,39.0,2,0.6171678531806745,0.01153084961052855,0.07704953509368213,0.27222250413793664,0.022029257977178116
42,46,12.0,700.0,8400.0,750.0,872,872,1.0,5.0,0.0,2.0,14.0,18.0,0.0,38.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,225.0,1.0,0.0,7.0,0.0,0.0,1.0,3.0,31.0,2.0,24.0,14.0,0.0,0.0,0.0,0.0,22.0,9.0,136.0,211.0,3.0,1.0,16.0,0.0,2.0,20.0,0.0,52.0,1.0,0.0,1.0,0.0,6699,9.0,569.0,1220.0,219.0,2.0,18.0,528.0,40.0,185.0,867.0,1.0,4.0,0.0,13.0,5.0,0.0,4.0,224.0,81.0,0.0,2.0,34.0,1.0,335.0,0.0,0.0,35.0,0.0,190.0,39.0,2.0,2019.0,53.0,3,0.5732868981595983,0.1844740487301974,0.08469982546411617,0.12245965962070982,0.0350795680253784
43,47,23.0,301.5217391304348,6935.0,25.0,1840,1840,0.0,28.0,0.0,2.0,51.0,3.0,0.0,109.0,0.0,0.0,10.0,1.0,4.0,0.0,1.0,0.0,635.0,21.0,0.0,38.0,3.0,0.0,2.0,25.0,50.0,0.0,16.0,14.0,0.0,2.0,0.0,0.0,19.0,21.0,276.0,381.0,9.0,8.0,11.0,0.0,4.0,44.0,0.0,50.0,0.0,0.0,2.0,0.0,5295,10.0,272.0,482.0,375.0,1.0,10.0,553.0,25.0,132.0,843.0,1.0,3.0,0.0,7.0,7.0,2.0,8.0,192.0,43.0,0.0,1.0,23.0,0.0,236.0,0.0,0.0,21.0,0.0,137.0,36.0,8.0,1846.0,21.0,11,0.7637184664961686,0.024192333604072077,0.05582154274027316,0.12699636163091202,0.029271295528574177
44,48,5.0,500.0,2500.0,500.0,876,876,0.0,5.0,0.0,1.0,14.0,8.0,0.0,57.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,218.0,1.0,0.0,14.0,1.0,0.0,2.0,15.0,18.0,0.0,25.0,4.0,0.0,0.0,0.0,1.0,10.0,10.0,146.0,244.0,6.0,5.0,10.0,0.0,1.0,8.0,0.0,43.0,0.0,0.0,4.0,0.0,5642,7.0,454.0,1039.0,220.0,1.0,16.0,506.0,38.0,148.0,727.0,0.0,4.0,0.0,6.0,5.0,4.0,0.0,139.0,53.0,0.0,1.0,24.0,0.0,304.0,2.0,0.0,18.0,0.0,172.0,36.0,5.0,1691.0,22.0,3,0.54692809200791,0.1566970640754205,0.12774871866530021,0.13763416731490627,0.03099195793646285
45,49,5.0,319.6,1598.0,250.0,733,733,0.0,5.0,0.0,1.0,17.0,4.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,182.0,1.0,11.0,23.0,0.0,0.0,0.0,9.0,19.0,5.0,27.0,2.0,0.0,0.0,0.0,0.0,11.0,5.0,100.0,201.0,5.0,4.0,5.0,0.0,4.0,18.0,0.0,44.0,1.0,0.0,0.0,0.0,8198,4.0,614.0,1557.0,329.0,0.0,20.0,1048.0,55.0,211.0,663.0,2.0,13.0,1.0,23.0,4.0,3.0,6.0,267.0,165.0,0.0,5.0,51.0,1.0,465.0,1.0,1.0,23.0,0.0,282.0,44.0,13.0,2248.0,79.0,1,0.4168887269982843,0.2725878496141162,0.06188124498004474,0.21466572257846359,0.03397645582909121
46,50,12.0,441.6666666666667,5300.0,375.0,1009,1009,1.0,8.0,0.0,0.0,17.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,422.0,2.0,0.0,30.0,0.0,0.0,1.0,2.0,19.0,2.0,18.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,116.0,265.0,7.0,1.0,5.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,4.0,0.0,5640,10.0,389.0,979.0,350.0,1.0,12.0,676.0,18.0,156.0,593.0,0.0,7.0,0.0,5.0,2.0,2.0,6.0,222.0,81.0,0.0,3.0,50.0,0.0,350.0,0.0,0.0,15.0,0.0,165.0,46.0,3.0,1452.0,47.0,1,0.4596836403567538,0.11239575745220266,0.2222199098743741,0.16701078173939987,0.03868991057726952
47,14,0.0,0.0,0.0,0.0,1120,1120,0.0,6.0,0.0,1.0,10.0,3.0,0.0,23.0,0.0,0.0,11.0,0.0,2.0,0.0,3.0,0.0,352.0,61.0,4.0,73.0,2.0,0.0,1.0,4.0,20.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,126.0,248.0,5.0,0.0,6.0,0.0,1.0,24.0,0.0,33.0,0.0,0.0,46.0,0.0,6011,21.0,498.0,1091.0,302.0,5.0,7.0,764.0,27.0,103.0,452.0,0.0,20.0,0.0,9.0,12.0,2.0,6.0,241.0,126.0,0.0,3.0,92.0,0.0,394.0,23.0,1.0,29.0,0.0,204.0,33.0,2.0,1312.0,232.0,1,0.1413889178928175,0.00987628912979516,0.024883319399720417,0.8214703987880817,0.002381074789585203
48,33,0.0,0.0,0.0,0.0,1181,1181,2.0,22.0,0.0,2.0,17.0,0.0,0.0,45.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,1.0,352.0,12.0,9.0,56.0,2.0,0.0,1.0,11.0,30.0,2.0,30.0,7.0,0.0,0.0,0.0,0.0,10.0,2.0,186.0,257.0,11.0,1.0,12.0,0.0,3.0,24.0,0.0,53.0,0.0,0.0,10.0,0.0,4955,8.0,347.0,820.0,243.0,0.0,4.0,686.0,20.0,112.0,470.0,1.0,8.0,0.0,3.0,5.0,1.0,7.0,217.0,89.0,0.0,2.0,43.0,0.0,297.0,6.0,0.0,20.0,0.0,176.0,27.0,6.0,1243.0,94.0,1,0.3457777918647528,0.03966204715888721,0.09485399259535794,0.48893414781732775,0.030772020563674368
49,35,0.0,0.0,0.0,0.0,1026,1026,0.0,8.0,0.0,0.0,13.0,2.0,0.0,43.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,343.0,7.0,4.0,32.0,1.0,0.0,1.0,6.0,31.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,131.0,236.0,7.0,0.0,7.0,0.0,0.0,13.0,0.0,73.0,1.0,0.0,7.0,0.0,6018,15.0,490.0,1098.0,276.0,3.0,14.0,787.0,37.0,112.0,471.0,1.0,8.0,2.0,11.0,7.0,5.0,3.0,248.0,145.0,0.0,1.0,62.0,0.0,388.0,1.0,0.0,34.0,0.0,216.0,29.0,10.0,1391.0,153.0,5,0.22775352084827644,0.035515272026609035,0.05926994475308539,0.6618048030922129,0.0156564592798163
