ID,Label,Count of Contributions
BYRON SIGCHO LOPEZ,BYRON SIGCHO LOPEZ,1
MELISSA CONYERS ERVIN,MELISSA CONYERS ERVIN,1
ALDERMAN DAVID MOORE,ALDERMAN DAVID MOORE,2
FRIENDS OF O'SHEA,FRIENDS OF O'SHEA,1
ALDERMAN M. HARRIS,ALDERMAN M. HARRIS,1
FRIENDS OF PATRICK D THOMPSON FOR ALDERMAN,FRIENDS OF PATRICK D THOMPSON FOR ALDERMAN,3
CITIZENS FOR MICHAEL SCOTT JR,CITIZENS FOR MICHAEL SCOTT JR,1
FRIENDS OF CURTIS TARVER LL,FRIENDS OF CURTIS TARVER LL,1
CITZENS FOR BEALE,CITZENS FOR BEALE,1
CITIZENS TO ELECT DERRICK G. CURTIS,CITIZENS TO ELECT DERRICK G. CURTIS,1
FRIENDS OF MATT O'SHEA (GENERAL CONTRIBUTION),FRIENDS OF MATT O'SHEA (GENERAL CONTRIBUTION),1
FRIENDS OF RAYMOND A LOPEZ (RECEPTION SPONSOR),FRIENDS OF RAYMOND A LOPEZ (RECEPTION SPONSOR),1
ALDERMAN ERVIN,ALDERMAN ERVIN,2
SUSAN SADLOWSKI GARZA RE-ELECTION CAMPAIGN,SUSAN SADLOWSKI GARZA RE-ELECTION CAMPAIGN,1
FRIENDS OF GEOGE A. CARDENAS,FRIENDS OF GEOGE A. CARDENAS,1
ALDERMAN ARIEL REBOYRAS,ALDERMAN ARIEL REBOYRAS,2
NICK SPOSATO,NICK SPOSATO,1
ALDERMAN CARRIE M. AUSTIN 34TH WARD DEM. ORG.,ALDERMAN CARRIE M. AUSTIN 34TH WARD DEM. ORG.,1
MELISSA FOR CHICAGO (MELISSA CONYEARS-ERVIN CAMPAIGN FOR CITY TREASURER),MELISSA FOR CHICAGO (MELISSA CONYEARS-ERVIN CAMPAIGN FOR CITY TREASURER),1
ALDERMAN CARRIE AUSTIN/34TH WARD,ALDERMAN CARRIE AUSTIN/34TH WARD,1
ALDERMAN JASON C. ERVIN,ALDERMAN JASON C. ERVIN,1
POLITICAL DONATION - SUMMER RECEPTION FOR ALDERMAN TUNNEY ON 8/24,POLITICAL DONATION - SUMMER RECEPTION FOR ALDERMAN TUNNEY ON 8/24,1
CITIZENS FOR S COLEMAN,CITIZENS FOR S COLEMAN,1
CITIZENS TO ELECT MITTS,CITIZENS TO ELECT MITTS,1
BRENDEN REILLY,BRENDEN REILLY,1
"CITIZENS FOR PAT DOWELL (FROM NEAL & LEROY, LLC)","CITIZENS FOR PAT DOWELL (FROM NEAL & LEROY, LLC)",1
FRIENDS OF GILL VILLEGAS,FRIENDS OF GILL VILLEGAS,1
JOHN CAPPLEMAN,JOHN CAPPLEMAN,1
COMMITTE FOR MICHAEL SCOTT JR,COMMITTE FOR MICHAEL SCOTT JR,1
ALDERMAN ED. BURKE,ALDERMAN ED. BURKE,1
CITIZENS TO ELECT DERRICK CURTIS,CITIZENS TO ELECT DERRICK CURTIS,1
COMMITTEE TO ELECT MATT O'SHEA,COMMITTEE TO ELECT MATT O'SHEA,1
JAMES CAPPLEMAN - 46TH WARD,JAMES CAPPLEMAN - 46TH WARD,1
"CITIZENS TO ELECT ANTHONY BEALE - NEAL & LEROY, LLC","CITIZENS TO ELECT ANTHONY BEALE - NEAL & LEROY, LLC",1
DERRICK CURTIS,DERRICK CURTIS,1
HOWARD BROOKINS JR.,HOWARD BROOKINS JR.,1
FRIENDS OFCARRIE AUSTIN,FRIENDS OFCARRIE AUSTIN,1
COMMITTEE TO ELECT HOWARD B. BROOKINS JR,COMMITTEE TO ELECT HOWARD B. BROOKINS JR,1
BRIAN HOPKINS FOR CHICAGO(ALD) (FUNDRAISER),BRIAN HOPKINS FOR CHICAGO(ALD) (FUNDRAISER),1
DEB SILVERSTEIN,DEB SILVERSTEIN,1
CITIZENS FOR CARDONA,CITIZENS FOR CARDONA,1
"COMMITTEE TO ELECT HOWARD B. BROOKINS, JR.","COMMITTEE TO ELECT HOWARD B. BROOKINS, JR.",3
HOPKINS FOR CHICAGO (BRIAN HOPIKINS - CANDIDATE),HOPKINS FOR CHICAGO (BRIAN HOPIKINS - CANDIDATE),1
CITIZENS TO ELECT BEALE,CITIZENS TO ELECT BEALE,2
EDWARD M.BURKE,EDWARD M.BURKE,1
COMMITTEE TO ELECT HOWARD B BROOKINS JR (ALD) (GENERAL CAMPAIGN CONTRIBUTION),COMMITTEE TO ELECT HOWARD B BROOKINS JR (ALD) (GENERAL CAMPAIGN CONTRIBUTION),1
ALDERMAN WAGUESPACK,ALDERMAN WAGUESPACK,2
CITIZENS FOR BRENDAN REILLY (GENERAL CONTRIBUTION),CITIZENS FOR BRENDAN REILLY (GENERAL CONTRIBUTION),1
FRIEDNS OF ED BURKE,FRIEDNS OF ED BURKE,1
FRIE3NDS VOF SILVERSTEIN,FRIE3NDS VOF SILVERSTEIN,1
ALD. ANTHONY BEALE,ALD. ANTHONY BEALE,1
ALDERMAN SCOTT WAHUESPACK,ALDERMAN SCOTT WAHUESPACK,1
CTIIZENS TO ELECT DAVID MOORE,CTIIZENS TO ELECT DAVID MOORE,1
CITIZENS FOR JOE MOORE (49TH WARD ALD) RECEPTION ON 10/19/15,CITIZENS FOR JOE MOORE (49TH WARD ALD) RECEPTION ON 10/19/15,1
MELLISSA CONYEARS-ERVIN,MELLISSA CONYEARS-ERVIN,1
ALDERMAN MICHELLE HARRIS,ALDERMAN MICHELLE HARRIS,2
REBOYRAS FOR CHICAGO,REBOYRAS FOR CHICAGO,1
ALD. RAY LOPEZ,ALD. RAY LOPEZ,1
REILLY FOR CHICAGO,REILLY FOR CHICAGO,2
CITIZENS TO ELECT  ANTHONY BEALE,CITIZENS TO ELECT  ANTHONY BEALE,1
FRIENDS FOR PATRICK D. THOMPSON,FRIENDS FOR PATRICK D. THOMPSON,1
28TH WARD DEMOCRATIC WARD REGULAR DEMOCRATIC ORGANIZATION (ERVIN),28TH WARD DEMOCRATIC WARD REGULAR DEMOCRATIC ORGANIZATION (ERVIN),1
CITIZENS FOR RAY LOPEZ,CITIZENS FOR RAY LOPEZ,1
ALDERMAN CURTIS,ALDERMAN CURTIS,1
MICHAEL D. RODRIGUEZ,MICHAEL D. RODRIGUEZ,1
BYRON SIGCHO LOPEZ 25TH WARD ALDERMAN-CHICAGO,BYRON SIGCHO LOPEZ 25TH WARD ALDERMAN-CHICAGO,1
FRIENDS FOR ALDERMAN AUSTIN,FRIENDS FOR ALDERMAN AUSTIN,1
FRIENDS OF SADLOWSKI GARZA,FRIENDS OF SADLOWSKI GARZA,1
8TH WARD REGULAR DEM. ORGANIZATION (ALD. M. HARRIS) 46TH ANNUAL DINNER DANCE,8TH WARD REGULAR DEM. ORGANIZATION (ALD. M. HARRIS) 46TH ANNUAL DINNER DANCE,1
ALD. BURNETT,ALD. BURNETT,1
FRIENDS OF DERRICK CURTIS,FRIENDS OF DERRICK CURTIS,1
FRIENDS OF ALDERMAN GEORGE CARDENAS,FRIENDS OF ALDERMAN GEORGE CARDENAS,1
COMMITTE TO ELECT HOWARD BROOKINS JR.,COMMITTE TO ELECT HOWARD BROOKINS JR.,1
ALDERMAN BRENDAN REILLY - CLUB 42,ALDERMAN BRENDAN REILLY - CLUB 42,1
49TH WARD CITIZEN SERVICES (ALDERMAN JOE MOORE),49TH WARD CITIZEN SERVICES (ALDERMAN JOE MOORE),1
CITIZENS FOR CARRIE AUSTIN CARRIE AUSTIN,CITIZENS FOR CARRIE AUSTIN CARRIE AUSTIN,1
FRIENDS OF  ED BURKE,FRIENDS OF  ED BURKE,1
CITIZENS FOR RAYMOND LOPEZ,CITIZENS FOR RAYMOND LOPEZ,1
FRIENDS OF D. SILVERSTEIN,FRIENDS OF D. SILVERSTEIN,1
ALDERMAN NICK SPOSATO,ALDERMAN NICK SPOSATO,1
CITIZENS FOR LOPEZ,CITIZENS FOR LOPEZ,1
"LESLIE HAIRSTON, ALDERMAN","LESLIE HAIRSTON, ALDERMAN",1
25TH WARD ALDERMAN BYRON SIGCHO LOPEZ,25TH WARD ALDERMAN BYRON SIGCHO LOPEZ,1
ALDERMAN BEALE,ALDERMAN BEALE,3
FRIENDS OF ALDERMAN SOPHIA KING,FRIENDS OF ALDERMAN SOPHIA KING,1
FRIENDS OF MICHELLE SMITH (GENERAL CONTRIBUTION),FRIENDS OF MICHELLE SMITH (GENERAL CONTRIBUTION),1
ALDERMAN MICHELLE SMITH,ALDERMAN MICHELLE SMITH,1
ALD PATRICK THOMPSON,ALD PATRICK THOMPSON,1
GILBERT VILLEGAS FOR 36TH WARD ALDERMAN,GILBERT VILLEGAS FOR 36TH WARD ALDERMAN,1
CITIZENS FOR CARRIE AUSTING,CITIZENS FOR CARRIE AUSTING,1
FRIENDS OF TONY BEALE,FRIENDS OF TONY BEALE,1
ALDERWOMAN SUE SADLOWSKI GARZA,ALDERWOMAN SUE SADLOWSKI GARZA,1
CITIZENS TO ELECT ANOTHONY BEALE,CITIZENS TO ELECT ANOTHONY BEALE,1
SOPHIA KING,SOPHIA KING,1
CITIZENS TO ELECT SUSAN SADLOWSKI GARZA,CITIZENS TO ELECT SUSAN SADLOWSKI GARZA,2
FRIENDS OF JOANNA THOMPSON,FRIENDS OF JOANNA THOMPSON,1
ALD CARDENAS  (GOLD HOLE S...),ALD CARDENAS  (GOLD HOLE S...),1
ALDERMAN BURNETT,ALDERMAN BURNETT,1
CARRIE MOORE,CARRIE MOORE,1
JOANN THOMPSON,JOANN THOMPSON,1
CITIZENS FOR BURNETT,CITIZENS FOR BURNETT,1
ALDERMAN ALDERMAN P. THOMPSON,ALDERMAN ALDERMAN P. THOMPSON,1
CITIZENS FOR TUNNEY (GENERAL CONTRIBUTION),CITIZENS FOR TUNNEY (GENERAL CONTRIBUTION),1
ALD SOPHIA KING,ALD SOPHIA KING,1
"ALDERMAN WALTER BURNETT, JR","ALDERMAN WALTER BURNETT, JR",1
FRIENDS OF DAVID MOORE,FRIENDS OF DAVID MOORE,1
CITIZENS TO ELECT FELIX CARDONA,CITIZENS TO ELECT FELIX CARDONA,1
FRIENDS OF PAT THOMPSON,FRIENDS OF PAT THOMPSON,1
CITIZENS FOR LESLIE HAIRSTON,CITIZENS FOR LESLIE HAIRSTON,2
ALD. MICHELLE A HARRIS,ALD. MICHELLE A HARRIS,1
ALDERMAN ANDRE VASQUEZ,ALDERMAN ANDRE VASQUEZ,1
SADLOWSKI GARZA,SADLOWSKI GARZA,1
FRIEND TO ELECT MICHELE SMITH,FRIEND TO ELECT MICHELE SMITH,1
ARIEL REBOYRAS,ARIEL REBOYRAS,1
FELIX CARDONA,FELIX CARDONA,1
FRIENDS OF ALDERMAN PATRICK D. THOMPSON,FRIENDS OF ALDERMAN PATRICK D. THOMPSON,1
CITIZENS FOR CARRIE M AUSTIN ALDERMAN -  34TH WARD,CITIZENS FOR CARRIE M AUSTIN ALDERMAN -  34TH WARD,1
CITIZENS FOR HOPKINS - ALDERMAN BRIAN HOPKINS - 2ND WARD,CITIZENS FOR HOPKINS - ALDERMAN BRIAN HOPKINS - 2ND WARD,1
FRIENS OF MICHELLE A HARRIS (ALD,FRIENS OF MICHELLE A HARRIS (ALD,1
FOOD FOR REILLY FUNDRAISER,FOOD FOR REILLY FUNDRAISER,1
CITIZENS FOR JOE MOORE (RECEPTION SPONSOR),CITIZENS FOR JOE MOORE (RECEPTION SPONSOR),1
STANLEY MOORE,STANLEY MOORE,1
GEORGE A. CARDENAS,GEORGE A. CARDENAS,1
ERVIN JASON,ERVIN JASON,1
"FRIENDS OF PATRICK D. THOMPSON (11TH WARD) (FROM NEAL & LEROY, LLC)","FRIENDS OF PATRICK D. THOMPSON (11TH WARD) (FROM NEAL & LEROY, LLC)",1
CARRIE AUSTIN 34TH WARD DEM ORG,CARRIE AUSTIN 34TH WARD DEM ORG,1
CITIZEN FOR JOE MOORE,CITIZEN FOR JOE MOORE,1
FRIENDS FOR RAYMOND LOPEZ,FRIENDS FOR RAYMOND LOPEZ,1
MELISSA CONYERS-ERVIN,MELISSA CONYERS-ERVIN,1
ALD. RODERICK SAWYER,ALD. RODERICK SAWYER,1
MELISSA ERVIN FOR CITY TREASURER,MELISSA ERVIN FOR CITY TREASURER,1
ALD EDWARD BURKE,ALD EDWARD BURKE,1
FRIENDS FOR RODERICK SAWYER,FRIENDS FOR RODERICK SAWYER,1
"CITIZENS FOR WAGUESPACK (VIA NEAL & LEROY, LLC)","CITIZENS FOR WAGUESPACK (VIA NEAL & LEROY, LLC)",1
FRIENDS FOR MICHELE SMITH,FRIENDS FOR MICHELE SMITH,1
CITIZENS TO ELECT MICHELLE HARRIS,CITIZENS TO ELECT MICHELLE HARRIS,1
ALD GILBERT VILLEGAS,ALD GILBERT VILLEGAS,1
CITIZENS FOR SCOTT WAUGESPACK,CITIZENS FOR SCOTT WAUGESPACK,1
EDWARD BURKE,EDWARD BURKE,1
HOWARD BROOKINS,HOWARD BROOKINS,1
"ALDERMAN, RODRICK SAWYER","ALDERMAN, RODRICK SAWYER",1
REILLY FOR COMMITTEEMAN,REILLY FOR COMMITTEEMAN,1
FRIENDDS OF LESLIE A HAIRSTON,FRIENDDS OF LESLIE A HAIRSTON,1
ALD CHRIS TALIAFERRO,ALD CHRIS TALIAFERRO,1
ALD ED BURKE,ALD ED BURKE,1
CITIZENS TO ELECT DERRICK G CURTIS,CITIZENS TO ELECT DERRICK G CURTIS,1
ALDERMAN MICHAEL SCOTT,ALDERMAN MICHAEL SCOTT,2
FRIENDS OF ALDERMAN WALTER BURNETT,FRIENDS OF ALDERMAN WALTER BURNETT,1
CITIZERNS FOR TUNNEY,CITIZERNS FOR TUNNEY,1
ALD CARRIE AUSTIN,ALD CARRIE AUSTIN,1
FRIENDS OF NUGENT,FRIENDS OF NUGENT,1
EUGENE SAWYER,EUGENE SAWYER,1
ALD DEBRA SILVERSTEIN (FOR FUNDRAISER),ALD DEBRA SILVERSTEIN (FOR FUNDRAISER),1
CITIZENS FOR ALDERMAN SILVERSTEIN,CITIZENS FOR ALDERMAN SILVERSTEIN,1
NEIGHBORS FOR HARRY OSTERMAN(48TH WARD) POLITICAL DONATION -  EVENT ON 8/24/15,NEIGHBORS FOR HARRY OSTERMAN(48TH WARD) POLITICAL DONATION -  EVENT ON 8/24/15,1
FRIENDS FOR (ALD) DEBRA SILVERSTEIN,FRIENDS FOR (ALD) DEBRA SILVERSTEIN,1
ALDERMAN HOWARD B. BROOKINS JR.,ALDERMAN HOWARD B. BROOKINS JR.,1
CITIZENS FOR CARRIE M AUSTIN (ALD.) (RECEPTION SPONSOR),CITIZENS FOR CARRIE M AUSTIN (ALD.) (RECEPTION SPONSOR),1
FRIEDNS OF CARRIE AUSTIN,FRIEDNS OF CARRIE AUSTIN,1
FRIENDS OF P. D. THOMPSON,FRIENDS OF P. D. THOMPSON,1
19TH WARD DEMOCRATIC ORGANIZATION - MATTHEW J. O'SHEA,19TH WARD DEMOCRATIC ORGANIZATION - MATTHEW J. O'SHEA,1
"ALDERMAN PAT DOWELL, 3RD WARD","ALDERMAN PAT DOWELL, 3RD WARD",1
45TH WARD ALDERMAN JAMES GARDINER,45TH WARD ALDERMAN JAMES GARDINER,1
COMMITTEE TO ELECT HOWARD BROOKINS JR,COMMITTEE TO ELECT HOWARD BROOKINS JR,1
FRIENDS  OF RODERICK SAWYER,FRIENDS  OF RODERICK SAWYER,1
LESLIE A. HAIRSTON (HOSTED EVENT AT HOME),LESLIE A. HAIRSTON (HOSTED EVENT AT HOME),1
ALD. EDWARD BURKE,ALD. EDWARD BURKE,1
ALDERMAN GIL VILLEGAS,ALDERMAN GIL VILLEGAS,1
ALDEMAN HOWARD BROOKINS,ALDEMAN HOWARD BROOKINS,1
FRIENDS OF ALDERMAN MOORE,FRIENDS OF ALDERMAN MOORE,1
CITIZENS FOR BROOKINS,CITIZENS FOR BROOKINS,1
FRIENDS OF MICHAEL SCOTT,FRIENDS OF MICHAEL SCOTT,1
COMMITTEE TO RE-ELECT BROOKINS,COMMITTEE TO RE-ELECT BROOKINS,1
FRIENDS OF M. SMITH,FRIENDS OF M. SMITH,1
FRIENDS OF RODERICK T SAWYER (GENERAL CONTRIBUTION),FRIENDS OF RODERICK T SAWYER (GENERAL CONTRIBUTION),1
ALDERMAN CARRIE AUSTIN (MADE FROM FRIENDS OF LUIS ARROYO),ALDERMAN CARRIE AUSTIN (MADE FROM FRIENDS OF LUIS ARROYO),1
ALD. JOE MOORE,ALD. JOE MOORE,1
ALD. MICHAEL SCOTT JR.,ALD. MICHAEL SCOTT JR.,1
44TH WARD DEMOCRATIC ORGANIZATION (ALDERMAN TOM TUNNEY),44TH WARD DEMOCRATIC ORGANIZATION (ALDERMAN TOM TUNNEY),1
FRIENDS OF SAM NUGENT,FRIENDS OF SAM NUGENT,2
CITIZENS FOR ALDERMAN MICHAEL SCOTT JUNIOR,CITIZENS FOR ALDERMAN MICHAEL SCOTT JUNIOR,1
FRIENDS FOR CARRIE AUSTIN,FRIENDS FOR CARRIE AUSTIN,1
CITIZENS FOR TOM TUNNEY (IN KIND CONTRIBUTION),CITIZENS FOR TOM TUNNEY (IN KIND CONTRIBUTION),1
FRIENDS OF PATRICK D THOMPSON (ALD) (GENERAL CAMPAIGN CONTRIBUTION),FRIENDS OF PATRICK D THOMPSON (ALD) (GENERAL CAMPAIGN CONTRIBUTION),1
CITIZENS FOR MICHELLE HARRIS (GENERAL CONTRIBUTION),CITIZENS FOR MICHELLE HARRIS (GENERAL CONTRIBUTION),1
CITRIZENS FOR DOWELL,CITRIZENS FOR DOWELL,1
FRIENDS OF ALDERMAN RAYMOND A. LOPEZ,FRIENDS OF ALDERMAN RAYMOND A. LOPEZ,1
THE BURNHAM COMMITTEE SUMMER RECEIPTION W/EDWARD M. BURKE 8/25/15,THE BURNHAM COMMITTEE SUMMER RECEIPTION W/EDWARD M. BURKE 8/25/15,1
TWELVE PAC - ALDERMAN CARDENAS,TWELVE PAC - ALDERMAN CARDENAS,1
FRIENDS OF MICHELLE A HARRIS,FRIENDS OF MICHELLE A HARRIS,1
FRIENDS OF SOFIA KING,FRIENDS OF SOFIA KING,1
ALD. FELIX CARDONA,ALD. FELIX CARDONA,1
ALD. HOPKINS,ALD. HOPKINS,1
ALD HOWARD BROOKINS,ALD HOWARD BROOKINS,1
ALDERMAN CHRIS TALIAFERRO,ALDERMAN CHRIS TALIAFERRO,1
CITIZENS FOR CARRIE M AUSTIN-ALDERMAN 34TH WARD,CITIZENS FOR CARRIE M AUSTIN-ALDERMAN 34TH WARD,1
ALDERMAN SUE SADLOWSKI GARZA,ALDERMAN SUE SADLOWSKI GARZA,2
FRIENDS OF JEANNETTE B. TAYLOR,FRIENDS OF JEANNETTE B. TAYLOR,1
FRIEND'S OF HAIRSTON,FRIEND'S OF HAIRSTON,1
NEIGHBORS FOR ANDRE VASQUEZ,NEIGHBORS FOR ANDRE VASQUEZ,1
VIRTUAL EVENT WITH ALDERMAN VILLEGAS,VIRTUAL EVENT WITH ALDERMAN VILLEGAS,1
NEIGHBORS FOR ANDRE (ALD. VASQUEZ),NEIGHBORS FOR ANDRE (ALD. VASQUEZ),1
ALD. VILLEGAS (36TH WARD),ALD. VILLEGAS (36TH WARD),1
"CITIZENS FOR MICHAEL SCOTT, JR","CITIZENS FOR MICHAEL SCOTT, JR",1
ALDERMAN STEPHANIE COLEMAN,ALDERMAN STEPHANIE COLEMAN,1
ALDERMAN SILVANA TABARES,ALDERMAN SILVANA TABARES,1
CITIZENS FOR ALD. REILLY,CITIZENS FOR ALD. REILLY,1
CITIZEN FOR PAT DOWELL,CITIZEN FOR PAT DOWELL,1
DANIEL LA SPATA,DANIEL LA SPATA,1
